Date;Close;Volume;Open;High;Low;;
10/04/2021;24366;49687;23826;24526;23659;;
10/05/2021;24936;56436;24375;25032;24314;;
10/06/2021;24420;50589;24936;25213;2429;;
10/07/2021;24596;51645;24377;24724;23735;;
10/08/2021;24737;55150;2469;25029;24635;;
10/11/2021;25150;46349;24743;25376;24743;;
10/12/2021;25100;55144;2515;25302;24845;;
10/13/2021;25211;49231;25089;25293;24747;;
10/14/2021;25498;44367;25158;25572;25094;;
10/15/2021;25641;69726;25548;25873;25477;;
10/18/2021;25408;65562;25598;25983;25256;;
10/19/2021;25517;69180;25259;25593;2501;;
10/20/2021;25838;69664;25569;25849;2509;;
10/21/2021;25407;59002;2581;25879;25076;;
10/22/2021;25312;62246;25442;256;25181;;
10/25/2021;25572;52438;25353;25728;25311;;
10/26/2021;25685;60332;2558;25708;25389;;
10/27/2021;25062;66333;25575;2561;24862;;
10/28/2021;24848;66979;24969;25008;24428;;
10/29/2021;24787;53730;24915;25059;24534;;
11/01/2021;25031;43175;24764;2515;24631;;
11/02/2021;25082;58227;24999;25193;24635;;
11/03/2021;24345;54165;24907;2494;2412;;
11/04/2021;24066;53825;24171;2504;2398;;
11/05/2021;24556;53272;24153;2474;24005;;
11/08/2021;24671;51320;24433;24859;24433;;
11/09/2021;25081;56049;2474;25158;24595;;
11/10/2021;24521;53562;25126;2528;24347;;
11/11/2021;24471;64770;2447;24678;24131;;
11/12/2021;24037;61314;2434;2443;23835;;
11/15/2021;23981;61286;2401;2415;2351;;
11/16/2021;24216;47842;2394;24334;23822;;
11/17/2021;23564;57024;24161;24217;23469;;
11/18/2021;23767;58440;23634;2385;23345;;
11/19/2021;22874;101712;23772;24017;22627;;
11/22/2021;23242;81564;22818;23283;23089;;
11/23/2021;23823;65742;23193;23919;22915;;
11/24/2021;23794;56911;23851;24033;23707;;
11/26/2021;20907;85990;23749;23816;20843;;
11/29/2021;21465;75905;21055;2147;21273;;
11/30/2021;20603;64537;2145;21738;20201;;
12/01/2021;20771;54962;20836;216;20586;;
12/02/2021;21034;64134;20725;21207;21048;;
12/03/2021;20984;48573;21109;2162;20801;;
12/06/2021;21712;38772;2116;2188;2106;;
12/07/2021;22246;47187;2181;22378;21747;;
12/08/2021;22613;40746;22299;22725;2232;;
12/09/2021;22503;45403;22641;22844;2232;;
12/10/2021;22516;33871;22409;22729;22318;;
12/13/2021;22328;39470;22595;22839;22307;;
12/14/2021;22184;39252;22345;22562;21859;;
12/15/2021;22169;29782;22071;22359;21847;;
12/16/2021;22628;30849;22334;22737;22218;;
12/17/2021;22162;35777;22516;22595;21932;;
12/20/2021;21689;46283;2209;22112;21045;;
12/21/2021;22514;45190;21855;22593;21659;;
12/22/2021;22992;43184;22547;23067;22406;;
12/23/2021;23234;44390;23064;2328;22813;;
12/27/2021;23449;32783;23124;23665;22865;;
12/28/2021;23610;33836;23507;23892;23391;;
12/29/2021;23672;36850;23641;23946;23392;;
12/30/2021;23863;32203;23696;2395;23519;;
12/31/2021;23253;30255;2373;23871;23155;;
1/03/2022;23574;39037;23283;23722;23134;;
1/04/2022;24095;51621;23607;24159;23522;;
1/05/2022;24461;53285;24114;24624;2399;;
1/06/2022;24777;58518;24282;24989;2414;;
1/07/2022;24818;51919;2479;25001;24656;;
1/10/2022;24876;73547;24917;25245;24753;;
1/11/2022;25636;71131;24916;25718;24866;;
1/12/2022;25942;80637;25638;26133;25602;;
01/13/2022;26085;77067;25988;26203;25753;;
01/14/2022;26343;71680;26016;26459;2599;;
01/18/2022;26200;92381;25915;26555;2585;;
01/19/2022;26364;69560;26534;26662;26105;;
01/20/2022;26284;89870;26175;26494;25921;;
01/21/2022;26373;73601;2601;26434;25565;;
01/24/2022;25854;81571;26313;2661;25616;;
01/25/2022;26292;86739;26064;26313;2577;;
01/26/2022;26919;88479;26274;27051;26229;;
01/27/2022;27175;91878;26884;27551;2671;;
01/28/2022;27124;77294;275;27754;27038;;
01/31/2022;27157;57797;27269;27573;26928;;
2/01/2022;27412;70701;27189;27559;26626;;
2/02/2022;27689;58857;27495;27848;27294;;
2/03/2022;28395;83371;2766;28435;27412;;
2/04/2022;28751;57353;28272;29065;28247;;
2/07/2022;28554;78395;289;29318;28425;;
2/08/2022;27926;89460;28578;28617;27463;;
2/09/2022;28249;64699;28047;28374;27676;;
2/10/2022;28272;52715;28327;28711;2804;;
2/11/2022;29109;59524;28228;29484;29054;;
02/14/2022;28505;45421;28202;28543;28293;;
02/15/2022;27643;52150;28274;28427;2725;;
02/16/2022;27901;80837;27707;28173;27007;;
02/17/2022;27395;74141;27288;2781;27017;;
02/18/2022;27493;65061;27384;27675;26728;;
02/22/2022;27905;73235;27933;27972;27678;;
02/23/2022;27934;65448;27779;28285;27521;;
02/24/2022;28547;87190;28072;29881;28204;;
02/25/2022;28058;71230;28572;28272;27687;;
02/28/2022;29313;56721;29494;29811;28884;;
3/01/2022;31511;65160;2931;32233;29299;;
3/02/2022;34947;71050;3225;36072;34853;;
3/03/2022;35034;43428;35405;38416;33845;;
3/04/2022;37763;47543;35077;38;37489;;
3/07/2022;39215;52066;40265;41351;38125;;
3/08/2022;44373;65241;39738;45275;39044;;
3/09/2022;34643;72969;34798;35759;33958;;
3/10/2022;31957;45198;3404;36442;3183;;
3/11/2022;32931;30033;31986;33941;30714;;
03/14/2022;31516;21535;3288;33033;30916;;
03/15/2022;29458;28417;31252;31307;28635;;
03/16/2022;29710;23856;29389;3073;29039;;1
