Date;Price;Open;High;Low;Vol.;Change %
25/06/2021;31,594.0;34,660.5;35,490.9;31,337.9;193.43K;-8,86
28/06/2021;34,475.9;34,682.2;35,231.2;33,944.9;112.00K;-0,58
29/06/2021;35,834.7;34,477.3;36,590.3;34,247.6;97.27K;3,94
30/06/2021;35,026.9;35,832.6;36,089.5;34,126.6;107.07K;-2,25
1/07/2021;33,543.6;35,030.7;35,032.7;32,839.2;27.41K;-4,23
2/07/2021;33,813.4;33,542.2;33,925.9;32,734.6;78.93K;0,8
6/07/2021;34,225.6;33,688.5;35,062.0;33,581.7;83.63K;1,6
7/07/2021;33,867.8;34,228.7;35,036.6;33,801.3;72.03K;-1,05
8/07/2021;32,866.3;33,859.4;33,923.2;32,146.9;108.09K;-2,96
9/07/2021;33,797.4;32,866.3;34,079.2;32,367.0;67.14K;2,83
12/07/2021;33,113.0;34,228.3;34,598.0;32,662.8;63.24K;-3,26
13/07/2021;32,728.1;33,106.1;33,307.7;32,259.5;60.04K;-1,16
14/07/2021;32,820.7;32,727.8;33,051.9;31,611.2;69.56K;0,28
15/07/2021;31,840.5;32,820.5;33,157.0;31,175.8;76.95K;-2,99
16/07/2021;31,394.0;31,842.3;32,239.8;31,062.2;70.48K;-1,4
19/07/2021;30,837.2;31,782.9;31,887.0;30,478.2;77.48K;-2,98
20/07/2021;29,793.8;30,835.4;31,040.8;29,310.2;97.46K;-3,38
21/07/2021;32,131.4;29,794.7;32,794.6;29,519.3;118.34K;7,85
22/07/2021;32,298.9;32,131.7;32,585.4;31,729.4;64.87K;0,52
23/07/2021;33,603.3;32,297.9;33,605.6;32,041.1;66.15K;4,04
26/07/2021;37,276.6;35,392.3;40,522.9;35,236.7;177.63K;5,33
27/07/2021;39,452.0;37,294.3;39,455.9;36,427.4;100.24K;5,84
28/07/2021;40,003.2;39,450.4;40,862.2;38,883.8;148.92K;1,4
29/07/2021;40,001.4;40,009.0;40,630.7;39,340.8;75.30K;0
30/07/2021;42,203.4;40,001.1;42,264.4;38,358.4;98.45K;5,5
2/08/2021;39,168.4;39,869.8;40,449.0;38,692.5;74.81K;-1,78
3/08/2021;38,130.3;39,167.4;39,766.6;37,688.2;0.26K;-2,65
4/08/2021;39,736.9;38,188.4;39,956.5;37,556.0;79.22K;4,21
5/08/2021;40,867.2;39,734.4;41,366.3;37,365.4;130.60K;2,84
6/08/2021;42,795.4;40,868.4;43,253.4;39,905.4;111.93K;4,72
9/08/2021;46,284.3;43,794.9;46,460.7;42,824.1;117.08K;5,69
10/08/2021;45,593.8;46,281.8;46,663.4;44,681.2;80.55K;-1,49
11/08/2021;45,564.3;45,593.2;46,736.5;45,367.9;75.43K;-0,06
12/08/2021;44,403.4;45,562.3;46,213.8;43,814.7;81.07K;-2,55
13/08/2021;47,809.1;44,404.0;47,836.0;44,242.4;75.27K;7,67
16/08/2021;45,996.3;46,991.6;48,002.4;45,672.1;2.41K;-2,12
17/08/2021;44,691.6;45,907.5;47,140.6;44,441.3;84.14K;-2,84
18/08/2021;44,723.8;44,691.1;46,004.9;44,230.0;22.36K;0,07
19/08/2021;46,755.9;44,725.9;47,012.3;43,986.7;77.92K;4,54
20/08/2021;49,324.0;46,756.7;49,343.3;46,646.8;83.19K;5,49
23/08/2021;49,539.7;49,255.4;50,498.8;49,038.6;75.37K;0,58
24/08/2021;47,714.7;49,532.5;49,847.4;47,623.6;74.26K;-3,68
25/08/2021;48,994.5;47,707.4;49,230.2;47,163.3;63.54K;2,68
26/08/2021;46,831.6;48,994.4;49,347.8;46,360.4;73.79K;-4,41
27/08/2021;49,064.3;46,830.2;49,142.0;46,371.5;62.47K;4,77
30/08/2021;46,992.7;48,777.1;48,886.0;46,876.9;61.68K;-3,66
31/08/2021;47,130.4;46,989.1;48,217.0;46,709.3;71.48K;0,29
1/09/2021;48,819.4;47,129.2;49,121.0;46,533.1;74.38K;3,58
2/09/2021;49,274.3;48,817.8;50,355.3;48,612.9;80.21K;0,93
3/09/2021;49,999.0;49,269.5;51,008.8;48,377.3;88.08K;1,47
7/09/2021;46,779.6;52,674.2;52,885.3;43,072.4;187.56K;-11,19
8/09/2021;46,061.4;46,774.1;47,316.9;44,493.7;100.48K;-1,54
9/09/2021;46,385.6;46,057.6;47,305.7;45,609.0;73.63K;0,7
10/09/2021;44,842.8;46,385.9;47,021.6;44,283.6;75.62K;-3,33
13/09/2021;44,949.5;46,060.8;46,807.7;43,463.2;96.15K;-2,42
14/09/2021;47,077.5;44,950.2;47,247.6;44,718.7;65.33K;4,73
15/09/2021;48,130.6;47,070.8;48,436.5;46,743.9;63.40K;2,24
16/09/2021;47,748.0;48,132.3;48,480.6;47,040.3;60.91K;-0,8
17/09/2021;47,282.8;47,748.2;48,155.9;46,788.8;50.16K;-0,97
20/09/2021;42,870.6;47,240.8;47,323.9;42,547.1;77.96K;-9,25
21/09/2021;40,651.3;43,012.3;43,619.3;39,646.8;142.55K;-5,18
22/09/2021;43,551.6;40,660.8;43,976.7;40,585.7;93.98K;7,13
23/09/2021;44,869.2;43,550.7;44,949.8;43,090.1;74.54K;3,03
24/09/2021;42,819.9;44,867.4;45,112.0;40,908.5;128.88K;-4,57
27/09/2021;42,172.6;43,200.9;44,293.2;42,143.9;54.12K;-2,39
28/09/2021;41,022.3;42,169.9;42,758.8;40,906.4;60.01K;-2,73
29/09/2021;41,536.8;41,023.1;42,571.2;40,815.0;48.21K;1,25
30/09/2021;43,823.3;41,534.5;44,101.2;41,416.7;64.32K;5,5
1/10/2021;48,146.0;43,824.4;48,435.2;43,292.9;94.66K;9,86
4/10/2021;49,227.3;48,200.4;49,481.7;46,958.6;66.92K;2,13
5/10/2021;51,469.3;49,229.5;51,872.4;49,060.1;76.63K;4,55
6/10/2021;55,323.2;51,470.0;55,676.1;50,439.5;116.26K;7,49
7/10/2021;53,783.9;55,325.2;55,325.6;53,476.4;75.68K;-2,78
8/10/2021;53,914.7;53,785.5;55,977.9;53,659.3;64.05K;0,24
11/10/2021;57,477.3;54,686.9;57,814.1;54,457.8;73.84K;5,1
12/10/2021;56,015.9;57,480.6;57,635.7;54,155.4;74.85K;-2,54
13/10/2021;57,380.1;56,014.5;57,697.4;54,314.4;73.62K;2,44
14/10/2021;57,345.8;57,370.4;58,506.5;56,866.8;59.84K;-0,06
15/10/2021;61,672.5;57,348.2;62,892.8;56,874.8;121.48K;7,54
18/10/2021;62,056.3;61,525.8;62,623.6;60,026.9;80.15K;0,86
19/10/2021;64,278.5;62,030.2;64,454.0;61,451.0;80.16K;3,58
20/10/2021;65,979.1;64,276.9;66,967.1;63,543.7;79.87K;2,65
21/10/2021;62,210.2;66,004.6;66,616.9;62,092.1;105.38K;-5,71
22/10/2021;60,690.3;62,200.8;63,699.7;60,055.7;75.69K;-2,44
25/10/2021;63,067.0;60,864.3;63,694.8;60,655.8;51.06K;3,62
26/10/2021;60,310.8;63,067.5;63,275.1;59,907.3;57.13K;-4,37
27/10/2021;58,438.1;60,312.5;61,452.9;58,112.6;88.11K;-3,11
28/10/2021;60,582.5;58,437.2;62,251.3;58,128.1;88.47K;3,67
29/10/2021;62,242.8;60,579.9;62,952.2;60,322.2;63.39K;2,74
1/11/2021;60,915.3;61,310.1;62,430.1;59,612.7;61.21K;-0,64
2/11/2021;63,221.7;60,912.2;64,256.4;60,651.5;65.26K;3,79
3/11/2021;62,918.5;63,223.5;63,508.6;60,883.0;61.05K;-0,48
4/11/2021;61,412.6;62,915.4;63,077.6;60,742.9;49.91K;-2,39
5/11/2021;60,974.3;61,411.5;62,560.3;60,742.4;44.46K;-0,71
8/11/2021;67,527.9;63,276.4;67,763.3;63,276.4;81.08K;6,72
9/11/2021;66,904.4;67,528.7;68,493.3;66,334.9;66.13K;-0,92
10/11/2021;64,932.6;66,942.6;68,990.6;62,951.3;96.21K;-2,95
11/11/2021;64,806.7;64,922.8;65,583.3;64,121.9;50.37K;-0,19
12/11/2021;64,134.5;64,782.6;65,449.7;62,309.7;63.27K;-1,04
15/11/2021;63,597.9;65,514.9;66,311.2;63,439.5;53.53K;-2,92
16/11/2021;60,089.1;63,605.1;63,605.6;58,655.9;115.36K;-5,52
17/11/2021;60,367.8;60,074.2;60,814.5;58,531.9;73.93K;0,46
18/11/2021;56,955.3;60,368.2;60,936.9;56,524.4;100.37K;-5,65
19/11/2021;58,083.4;56,908.3;58,335.9;55,626.3;74.44K;1,98
22/11/2021;56,308.8;58,719.7;59,288.3;55,656.8;76.45K;-4,1
23/11/2021;57,573.2;56,304.8;57,855.1;55,542.5;72.48K;2,25
